temperature,model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
1.0,google/gemma-3-12b-it,top_k,1.0,0.13,0.0,13,0,100,14,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,2.0,0.21,0.0,21,0,100,24,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,3.0,0.25,0.0,25,0,100,34,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,4.0,0.27,0.0,27,0,100,40,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,5.0,0.29,0.0,29,0,100,44,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,6.0,0.32,0.0,32,0,100,48,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,7.0,0.34,0.0,34,0,100,52,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,8.0,0.35,0.01,35,1,100,54,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,9.0,0.35,0.01,35,1,100,55,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,10.0,0.36,0.01,36,1,100,58,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,11.0,0.37,0.01,37,1,100,61,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,12.0,0.37,0.01,37,1,100,61,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,13.0,0.39,0.01,39,1,100,65,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,14.0,0.4,0.01,40,1,100,66,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,15.0,0.41,0.01,41,1,100,67,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,16.0,0.41,0.01,41,1,100,72,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,17.0,0.42,0.01,42,1,100,74,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,18.0,0.43,0.01,43,1,100,75,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,19.0,0.43,0.01,43,1,100,76,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_k,20.0,0.43,0.01,43,1,100,76,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.5,0.04,0.0,4,0,100,4,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.55,0.05,0.0,5,0,100,6,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.6,0.09,0.0,9,0,100,10,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.65,0.12,0.0,12,0,100,13,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.7,0.17,0.0,17,0,100,19,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.75,0.24,0.0,24,0,100,27,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.8,0.32,0.0,32,0,100,40,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.85,0.35,0.0,35,0,100,47,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.9,0.45,0.0,45,0,100,61,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.95,0.58,0.0,58,0,100,82,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,top_p,0.99,0.8,0.0,80,0,100,138,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.01,0.43,0.0,43,0,100,59,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.02,0.39,0.0,39,0,100,46,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.03,0.34,0.0,34,0,100,40,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.04,0.29,0.0,29,0,100,34,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.05,0.26,0.0,26,0,100,30,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.06,0.26,0.0,26,0,100,30,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.07,0.25,0.0,25,0,100,29,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.08,0.24,0.0,24,0,100,28,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.09,0.24,0.0,24,0,100,27,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-it,min_p,0.1,0.24,0.0,24,0,100,27,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-it.jsonl
1.0,google/gemma-3-12b-pt,top_k,1.0,0.11,0.0,11,0,100,11,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,2.0,0.15,0.0,15,0,100,19,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,3.0,0.2,0.0,20,0,100,27,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,4.0,0.22,0.0,22,0,100,31,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,5.0,0.22,0.0,22,0,100,31,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
1.0,google/gemma-3-12b-pt,top_k,6.0,0.24,0.0,24,0,100,35,500,/home/jovyan/WCS/WCS/results/fortunayjacinta_100x5_multi_t/t1/audit.gemma3-12b-base.jsonl
