temperature,model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path
1.0,Qwen/Qwen2.5-14B,top_k,1.0,0.62,0.0,62,0,100,129,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,2.0,0.76,0.0,76,0,100,201,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,3.0,0.81,0.0,81,0,100,242,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,4.0,0.85,0.0,85,0,100,281,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,5.0,0.88,0.0,88,0,100,307,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,6.0,0.91,0.0,91,0,100,329,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,7.0,0.95,0.0,95,0,100,354,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,8.0,0.96,0.0,96,0,100,368,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,9.0,0.97,0.0,97,0,100,385,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,10.0,0.97,0.0,97,0,100,400,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,11.0,0.97,0.0,97,0,100,410,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,12.0,0.97,0.0,97,0,100,418,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,13.0,0.97,0.0,97,0,100,434,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,14.0,0.97,0.0,97,0,100,446,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,15.0,0.98,0.0,98,0,100,456,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,16.0,0.98,0.0,98,0,100,460,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,17.0,0.98,0.0,98,0,100,465,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,18.0,0.98,0.0,98,0,100,479,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,19.0,0.98,0.0,98,0,100,483,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_k,20.0,0.98,0.0,98,0,100,490,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_p,0.5,0.57,0.0,57,0,100,139,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_p,0.55,0.63,0.0,63,0,100,175,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_p,0.6,0.66,0.0,66,0,100,204,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_p,0.65,0.69,0.0,69,0,100,230,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_p,0.7,0.72,0.0,72,0,100,283,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_p,0.75,0.77,0.01,77,1,100,319,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_p,0.8,0.82,0.01,82,1,100,363,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_p,0.85,0.83,0.01,83,1,100,407,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_p,0.9,0.86,0.01,86,1,100,475,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_p,0.95,0.9,0.06,90,6,100,576,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,top_p,0.99,0.97,0.21,97,21,100,716,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
1.0,Qwen/Qwen2.5-14B,min_p,0.01,0.99,0.0,99,0,100,572,1000,/home/jovyan/WCS/WCS/results/punct_multi_t/t1/audit.qwen25-14b-base.jsonl
