model,decoder,parameter,word_any_wcs,word_all_wcs,covered_words_any,covered_words_all,total_words,covered_contexts,total_contexts,audit_path,temperature
Qwen/Qwen2.5-14B,top_k,1.0,0.53,0.01,53,1,100,103,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,2.0,0.64,0.01,64,1,100,128,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,3.0,0.69,0.02,69,2,100,149,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,4.0,0.74,0.02,74,2,100,167,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,5.0,0.76,0.02,76,2,100,177,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,6.0,0.78,0.02,78,2,100,183,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,7.0,0.8,0.02,80,2,100,191,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,8.0,0.83,0.02,83,2,100,200,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,9.0,0.84,0.03,84,3,100,210,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,10.0,0.86,0.03,86,3,100,220,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,11.0,0.87,0.03,87,3,100,223,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,12.0,0.87,0.04,87,4,100,229,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,13.0,0.89,0.05,89,5,100,236,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,14.0,0.89,0.05,89,5,100,243,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,15.0,0.89,0.05,89,5,100,244,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,16.0,0.91,0.05,91,5,100,250,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,17.0,0.92,0.05,92,5,100,255,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,18.0,0.93,0.05,93,5,100,258,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,19.0,0.94,0.06,94,6,100,267,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_k,20.0,0.94,0.07,94,7,100,270,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_p,0.5,0.6,0.02,60,2,100,125,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_p,0.55,0.66,0.02,66,2,100,146,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_p,0.6,0.68,0.03,68,3,100,160,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_p,0.65,0.75,0.03,75,3,100,182,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_p,0.7,0.75,0.05,75,5,100,204,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_p,0.75,0.77,0.08,77,8,100,224,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_p,0.8,0.78,0.13,78,13,100,251,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_p,0.85,0.81,0.15,81,15,100,275,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_p,0.9,0.84,0.27,84,27,100,313,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_p,0.95,0.9,0.42,90,42,100,368,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,top_p,0.99,1.0,0.69,100,69,100,437,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,min_p,0.01,0.97,0.16,97,16,100,335,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,min_p,0.02,0.96,0.12,96,12,100,303,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,min_p,0.03,0.95,0.11,95,11,100,287,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,min_p,0.04,0.92,0.09,92,9,100,262,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,min_p,0.05,0.91,0.04,91,4,100,247,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,min_p,0.06,0.91,0.04,91,4,100,243,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,min_p,0.07,0.9,0.03,90,3,100,228,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,min_p,0.08,0.89,0.02,89,2,100,224,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,min_p,0.09,0.88,0.02,88,2,100,219,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B,min_p,0.1,0.87,0.01,87,1,100,206,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-base.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,1.0,0.58,0.01,58,1,100,100,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,2.0,0.67,0.01,67,1,100,130,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,3.0,0.71,0.02,71,2,100,149,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,4.0,0.76,0.02,76,2,100,164,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,5.0,0.77,0.02,77,2,100,172,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,6.0,0.8,0.02,80,2,100,184,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,7.0,0.83,0.02,83,2,100,197,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,8.0,0.84,0.02,84,2,100,201,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,9.0,0.85,0.02,85,2,100,206,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,10.0,0.86,0.02,86,2,100,211,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,11.0,0.86,0.03,86,3,100,217,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,12.0,0.88,0.03,88,3,100,223,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,13.0,0.88,0.04,88,4,100,232,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,14.0,0.88,0.04,88,4,100,237,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,15.0,0.89,0.05,89,5,100,245,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,16.0,0.9,0.05,90,5,100,250,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,17.0,0.93,0.05,93,5,100,257,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,18.0,0.93,0.06,93,6,100,261,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,19.0,0.93,0.06,93,6,100,264,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_k,20.0,0.94,0.07,94,7,100,270,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_p,0.5,0.59,0.01,59,1,100,116,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_p,0.55,0.62,0.02,62,2,100,131,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_p,0.6,0.66,0.03,66,3,100,151,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_p,0.65,0.69,0.04,69,4,100,172,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
Qwen/Qwen2.5-14B-Instruct,top_p,0.7,0.72,0.04,72,4,100,184,500,/home/jovyan/WCS/WCS/results/western_lands_100x5_multi_t/t1/audit.qwen25-14b-instruct.jsonl,1.0
